Rank,Word_POS,Count
899,impact_NOUN,2983
900,speaker_PROPN,2976
901,name_VERB,2970
902,floor_NOUN,2970
903,product_NOUN,2970
904,pressure_NOUN,2968
905,reject_VERB,2965
906,multiple_ADJ,2965
907,driver_NOUN,2964
908,critical_ADJ,2962
909,technology_NOUN,2957
910,exactly_ADV,2952
911,strategy_NOUN,2950
912,lie_VERB,2945
913,occur_VERB,2944
914,couple_NOUN,2930
915,cbs_PROPN,2929
916,project_NOUN,2919
917,elect_NOUN,2912
918,broad_ADJ,2909
919,official_ADJ,2909
920,non_ADJ,2908
921,failure_NOUN,2907
922,afternoon_NOUN,2903
923,put_VERB,2899
924,investigator_NOUN,2898
925,truth_NOUN,2897
926,currently_ADV,2896
927,october_PROPN,2894
928,associated_PROPN,2887
929,indicate_VERB,2886
930,travel_VERB,2885
931,host_NOUN,2878
932,wear_VERB,2878
933,blame_VERB,2875
934,step_VERB,2874
935,maintain_VERB,2874
936,legislative_ADJ,2874
937,panel_NOUN,2872
938,target_NOUN,2854
939,mile_NOUN,2844
940,easy_ADJ,2843
941,british_ADJ,2843
942,property_NOUN,2840
943,hide_VERB,2839
944,base_NOUN,2839
945,entire_ADJ,2837
946,head_VERB,2836
947,drop_VERB,2828
948,hope_NOUN,2823
949,schedule_VERB,2823
950,steve_PROPN,2820
951,medical_ADJ,2820
952,admit_VERB,2817
953,colleague_NOUN,2817
954,half_NOUN,2816
955,figure_NOUN,2815
956,kushner_PROPN,2812
957,trial_NOUN,2811
958,period_NOUN,2807
959,game_NOUN,2803
960,treat_VERB,2799
961,responsibility_NOUN,2791
962,sexual_ADJ,2791
963,assault_NOUN,2788
964,allege_VERB,2781
965,development_NOUN,2781
966,close_VERB,2780
967,dangerous_ADJ,2777
968,minority_NOUN,2775
969,view_VERB,2774
970,infrastructure_NOUN,2768
971,necessary_ADJ,2768
972,study_NOUN,2767
973,remember_VERB,2759
974,insist_VERB,2758
975,usa_PROPN,2758
976,hire_VERB,2756
977,jewish_ADJ,2755
978,middle_PROPN,2755
979,false_ADJ,2755
980,repeatedly_ADV,2753
981,practice_NOUN,2744
982,tough_ADJ,2729
983,nations_PROPN,2729
984,clearly_ADV,2725
985,increase_NOUN,2723
986,journalist_NOUN,2712
987,review_NOUN,2712
988,professor_NOUN,2704
989,likely_ADV,2704
990,energy_NOUN,2701
991,common_ADJ,2700
992,largely_ADV,2697
993,hope_VERB,2695
994,remark_NOUN,2694
995,develop_VERB,2691
996,introduce_VERB,2691
997,demand_VERB,2691
998,answer_VERB,2686
